,Año,Trimestre,Accesos por cada 100 hab
4,2014,1,148
5,2014,2,143
6,2014,3,143
7,2014,4,143
8,2015,1,140
9,2015,2,139
10,2015,3,141
11,2015,4,143
12,2016,1,142
13,2016,2,143
14,2016,3,146
15,2016,4,146
16,2017,1,144
17,2017,2,143
18,2017,3,141
19,2017,4,140
20,2018,1,137
21,2018,2,134
22,2018,3,132
23,2018,4,131
24,2019,1,131
25,2019,2,129
26,2019,3,129
27,2019,4,125
28,2020,1,124
29,2020,2,122
30,2020,3,120
31,2020,4,120
32,2021,1,124
33,2021,2,124
34,2021,3,126
35,2021,4,128
36,2022,1,129
37,2022,2,129
38,2022,3,129
