,Año,Trimestre,Número de SMS salientes
4,2014,1,18393198881
5,2014,2,15877208560
6,2014,3,14201444366
7,2014,4,12287624401
8,2015,1,14254061889
9,2015,2,12732243852
10,2015,3,11650531080
11,2015,4,10588029213
12,2016,1,9525079422
13,2016,2,8390644680
14,2016,3,7610368636
15,2016,4,7269739541
16,2017,1,6595759974
17,2017,2,6313944821
18,2017,3,5784899010
19,2017,4,5261403776
20,2018,1,4402925087
21,2018,2,4447456352
22,2018,3,3939633281
23,2018,4,3697690058
24,2019,1,2979265948
25,2019,2,2827445823
26,2019,3,2949922014
27,2019,4,2175994230
28,2020,1,1957599508
29,2020,2,1941261096
30,2020,3,1887885018
31,2020,4,1162624348
32,2021,1,1061013967
33,2021,2,748701689
34,2021,3,1109243724
35,2021,4,929840583
36,2022,1,909954575
37,2022,2,789033575
38,2022,3,803389256
