,Año,Trimestre,Provincia,Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares
0,2022,3,Buenos Aires,16.75,49.6
1,2022,3,Capital Federal,24.12,58.73
2,2022,3,Catamarca,12.36,48.58
3,2022,3,Chaco,9.9,37.06
4,2022,3,Chubut,12.48,40.73
5,2022,3,Córdoba,29.7,97.02
6,2022,3,Corrientes,11.89,45.17
7,2022,3,Entre Ríos,16.36,54.71
8,2022,3,Formosa,11.05,43.42
9,2022,3,Jujuy,14.77,57.76
10,2022,3,La Pampa,20.33,61.71
11,2022,3,La Rioja,5.99,22.49
12,2022,3,Mendoza,6.55,23.47
13,2022,3,Misiones,11.07,40.65
14,2022,3,Neuquén,10.82,36.34
15,2022,3,Río Negro,13.19,42.88
16,2022,3,Salta,14.67,60.58
17,2022,3,San Juan,4.92,19.32
18,2022,3,San Luis,9.08,31.72
19,2022,3,Santa Cruz,10.92,36.71
20,2022,3,Santa Fe,21.11,67.15
21,2022,3,Santiago del Estero,15.11,60.9
22,2022,3,Tierra del Fuego,24.01,81.0
23,2022,3,Tucumán,7.56,30.52
24,2022,2,Buenos Aires,16.76,49.77
25,2022,2,Capital Federal,24.18,58.82
26,2022,2,Catamarca,12.35,48.55
27,2022,2,Chaco,9.95,37.24
28,2022,2,Chubut,12.39,40.43
29,2022,2,Córdoba,29.77,97.25
30,2022,2,Corrientes,11.63,44.16
31,2022,2,Entre Ríos,16.32,54.59
32,2022,2,Formosa,10.96,43.07
33,2022,2,Jujuy,14.28,55.86
34,2022,2,La Pampa,21.41,64.98
35,2022,2,La Rioja,5.97,22.41
36,2022,2,Mendoza,6.4,22.95
37,2022,2,Misiones,11.07,40.64
38,2022,2,Neuquén,11.14,37.43
39,2022,2,Río Negro,14.05,45.67
40,2022,2,Salta,14.65,60.5
41,2022,2,San Juan,4.69,18.4
42,2022,2,San Luis,9.06,31.65
43,2022,2,Santa Cruz,10.97,36.86
44,2022,2,Santa Fe,20.91,66.49
45,2022,2,Santiago del Estero,14.89,60.0
46,2022,2,Tierra del Fuego,23.39,78.89
47,2022,2,Tucumán,7.65,30.89
48,2022,1,Buenos Aires,16.7,49.7
49,2022,1,Capital Federal,24.19,58.78
50,2022,1,Catamarca,11.18,43.97
51,2022,1,Chaco,9.78,36.61
52,2022,1,Chubut,12.22,39.88
53,2022,1,Córdoba,29.41,96.05
54,2022,1,Corrientes,11.54,43.83
55,2022,1,Entre Ríos,16.29,54.48
56,2022,1,Formosa,10.97,43.1
57,2022,1,Jujuy,14.01,54.78
58,2022,1,La Pampa,21.65,65.7
59,2022,1,La Rioja,5.91,22.19
60,2022,1,Mendoza,5.96,21.37
61,2022,1,Misiones,10.88,39.96
62,2022,1,Neuquén,11.21,37.67
63,2022,1,Río Negro,14.13,45.94
64,2022,1,Salta,14.86,61.35
65,2022,1,San Juan,4.34,17.02
66,2022,1,San Luis,8.96,31.32
67,2022,1,Santa Cruz,10.98,36.9
68,2022,1,Santa Fe,20.78,66.1
69,2022,1,Santiago del Estero,14.63,58.96
70,2022,1,Tierra del Fuego,23.68,79.88
71,2022,1,Tucumán,6.92,27.93
72,2021,4,Buenos Aires,16.89,50.38
