,Año,Trimestre,Ingresos (miles de $)
0,2014,1,"2.916.071,75"
1,2014,2,"2.974.865,2"
2,2014,3,"3.105.462,02"
3,2014,4,"3.339.690,9"
4,2015,1,"3.260.124,75"
5,2015,2,"3.425.518,48"
6,2015,3,"3.590.883,18"
7,2015,4,"3.815.364,12"
8,2016,1,"4.198.260,39"
9,2016,2,"4.718.769,82"
10,2016,3,"4.951.967,66"
11,2016,4,"4.964.596,39"
12,2017,1,"6.375.681,76"
13,2017,2,"6.970.617,22"
14,2017,3,"6.667.943,53"
15,2017,4,"5.514.336,19"
16,2018,1,"8.252.279,99"
17,2018,2,"7.911.723,07"
18,2018,3,"10.111.350,57"
19,2018,4,"8.997.157,88"
20,2019,1,"12.238.568,39"
21,2019,2,"14.181.055,21"
22,2019,3,"13.404.569,15"
23,2019,4,"20.321.577,16"
24,2020,1,"17.067.597,82"
25,2020,2,"21.035.522,89"
26,2020,3,"18.162.023,89"
27,2020,4,"19.750.303,98"
28,2021,1,"21.378.667,68"
29,2021,2,"22.178.751,89"
30,2021,3,"20.789.995,21"
31,2021,4,"40.616.059,17"
32,2022,1,27.985.609
33,2022,2,"38.693.400,08"
34,2022,3,"31.443.440,29"
