,Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares
0,2014,1,Buenos Aires,26.72,85.26
1,2014,1,Capital Federal,52.66,128.57
2,2014,1,Catamarca,10.03,39.45
3,2014,1,Chaco,9.09,34.02
4,2014,1,Chubut,17.66,57.59
5,2014,1,Córdoba,21.09,68.88
6,2014,1,Corrientes,9.71,36.88
7,2014,1,Entre Ríos,17.14,57.33
8,2014,1,Formosa,7.38,28.98
9,2014,1,Jujuy,7.81,30.56
10,2014,1,La Pampa,21.26,64.52
11,2014,1,La Rioja,10.98,41.24
12,2014,1,Mendoza,17.26,61.84
13,2014,1,Misiones,9.49,34.85
14,2014,1,Neuquén,15.27,51.29
15,2014,1,Río Negro,17.69,57.51
16,2014,1,Salta,10.76,44.44
17,2014,1,San Juan,12.71,49.89
18,2014,1,San Luis,10.92,38.17
19,2014,1,Santa Cruz,13.17,44.25
20,2014,1,Santa Fe,22.93,72.91
21,2014,1,Santiago del Estero,7.73,31.15
22,2014,1,Tierra del Fuego,22.23,74.98
23,2014,1,Tucumán,13.47,54.39
24,2014,2,Buenos Aires,26.61,84.74
25,2014,2,Capital Federal,52.56,127.68
26,2014,2,Catamarca,10.02,39.38
27,2014,2,Chaco,9.06,33.89
28,2014,2,Chubut,17.57,57.31
29,2014,2,Córdoba,20.91,68.28
30,2014,2,Corrientes,9.69,36.8
31,2014,2,Entre Ríos,17.12,57.25
32,2014,2,Formosa,7.37,28.95
33,2014,2,Jujuy,7.82,30.59
34,2014,2,La Pampa,21.45,65.09
35,2014,2,La Rioja,10.9,40.94
36,2014,2,Mendoza,17.2,61.64
37,2014,2,Misiones,9.45,34.7
38,2014,2,Neuquén,15.22,51.12
39,2014,2,Río Negro,17.62,57.28
40,2014,2,Salta,10.75,44.37
41,2014,2,San Juan,12.67,49.73
42,2014,2,San Luis,10.89,38.03
43,2014,2,Santa Cruz,13.11,44.04
44,2014,2,Santa Fe,22.8,72.51
45,2014,2,Santiago del Estero,7.7,31.02
46,2014,2,Tierra del Fuego,22.08,74.44
47,2014,2,Tucumán,13.49,54.47
48,2014,3,Buenos Aires,26.69,84.85
49,2014,3,Capital Federal,52.69,127.35
50,2014,3,Catamarca,10.02,39.39
51,2014,3,Chaco,9.35,34.97
52,2014,3,Chubut,17.57,57.32
53,2014,3,Córdoba,20.74,67.73
54,2014,3,Corrientes,9.94,37.74
55,2014,3,Entre Ríos,17.59,58.84
56,2014,3,Formosa,7.36,28.92
57,2014,3,Jujuy,7.82,30.59
58,2014,3,La Pampa,21.2,64.33
59,2014,3,La Rioja,10.83,40.69
60,2014,3,Mendoza,17.15,61.44
61,2014,3,Misiones,9.52,34.93
62,2014,3,Neuquén,15.16,50.92
63,2014,3,Río Negro,17.57,57.13
64,2014,3,Salta,10.72,44.27
65,2014,3,San Juan,12.72,49.91
66,2014,3,San Luis,10.78,37.67
67,2014,3,Santa Cruz,13.11,44.03
68,2014,3,Santa Fe,22.9,72.83
69,2014,3,Santiago del Estero,7.69,30.98
70,2014,3,Tierra del Fuego,21.97,74.08
71,2014,3,Tucumán,13.52,54.56
72,2014,4,Buenos Aires,26.96,85.55
73,2014,4,Capital Federal,52.93,127.29
74,2014,4,Catamarca,9.99,39.27
75,2014,4,Chaco,9.28,34.71
76,2014,4,Chubut,17.76,57.92
77,2014,4,Córdoba,20.65,67.43
78,2014,4,Corrientes,9.89,37.55
79,2014,4,Entre Ríos,17.51,58.56
80,2014,4,Formosa,7.31,28.73
81,2014,4,Jujuy,7.81,30.55
82,2014,4,La Pampa,21.41,64.99
83,2014,4,La Rioja,10.74,40.33
84,2014,4,Mendoza,17.49,62.68
85,2014,4,Misiones,9.47,34.75
86,2014,4,Neuquén,15.29,51.34
87,2014,4,Río Negro,17.8,57.87
88,2014,4,Salta,10.68,44.08
89,2014,4,San Juan,12.96,50.88
90,2014,4,San Luis,10.84,37.88
91,2014,4,Santa Cruz,13.17,44.26
92,2014,4,Santa Fe,22.79,72.46
93,2014,4,Santiago del Estero,7.65,30.81
94,2014,4,Tierra del Fuego,21.96,74.05
95,2014,4,Tucumán,13.47,54.39
96,2015,1,Buenos Aires,28.93,91.61
97,2015,1,Capital Federal,53.53,128.08
98,2015,1,Catamarca,9.89,38.89
99,2015,1,Chaco,9.15,34.24
100,2015,1,Chubut,18.51,60.38
101,2015,1,Córdoba,20.51,66.99
102,2015,1,Corrientes,10.17,38.63
103,2015,1,Entre Ríos,17.45,58.36
104,2015,1,Formosa,7.25,28.48
105,2015,1,Jujuy,7.79,30.45
106,2015,1,La Pampa,22.47,68.21
107,2015,1,La Rioja,10.63,39.92
108,2015,1,Mendoza,18.05,64.69
109,2015,1,Misiones,9.33,34.25
110,2015,1,Neuquén,15.58,52.35
111,2015,1,Río Negro,18.31,59.52
112,2015,1,Salta,10.62,43.84
113,2015,1,San Juan,13.36,52.44
114,2015,1,San Luis,10.97,38.34
115,2015,1,Santa Cruz,18.17,61.05
116,2015,1,Santa Fe,22.62,71.94
117,2015,1,Santiago del Estero,7.58,30.54
118,2015,1,Tierra del Fuego,22.15,74.68
119,2015,1,Tucumán,13.38,54.02
120,2015,2,Buenos Aires,28.03,88.59
121,2015,2,Capital Federal,54.18,128.99
122,2015,2,Catamarca,9.87,38.8
123,2015,2,Chaco,9.13,34.15
124,2015,2,Chubut,19.01,62.01
125,2015,2,Córdoba,20.32,66.35
126,2015,2,Corrientes,10.15,38.54
127,2015,2,Entre Ríos,17.41,58.21
128,2015,2,Formosa,7.23,28.4
129,2015,2,Jujuy,7.76,30.36
130,2015,2,La Pampa,22.79,69.15
131,2015,2,La Rioja,10.59,39.78
132,2015,2,Mendoza,18.6,66.63
133,2015,2,Misiones,9.3,34.15
134,2015,2,Neuquén,15.79,53.02
135,2015,2,Río Negro,18.83,61.2
136,2015,2,Salta,10.58,43.69
137,2015,2,San Juan,13.65,53.58
138,2015,2,San Luis,11.11,38.81
139,2015,2,Santa Cruz,18.42,61.89
140,2015,2,Santa Fe,22.52,71.61
141,2015,2,Santiago del Estero,7.56,30.46
142,2015,2,Tierra del Fuego,22.5,75.85
143,2015,2,Tucumán,13.34,53.83
144,2015,3,Buenos Aires,28.24,89.06
145,2015,3,Capital Federal,53.27,126.17
146,2015,3,Catamarca,9.87,38.81
147,2015,3,Chaco,9.36,35.02
148,2015,3,Chubut,19.36,63.15
149,2015,3,Córdoba,20.36,66.5
150,2015,3,Corrientes,10.34,39.25
151,2015,3,Entre Ríos,17.77,59.44
152,2015,3,Formosa,7.21,28.31
153,2015,3,Jujuy,7.79,30.45
154,2015,3,La Pampa,22.89,69.47
155,2015,3,La Rioja,10.49,39.39
156,2015,3,Mendoza,18.97,67.97
157,2015,3,Misiones,9.5,34.87
158,2015,3,Neuquén,15.9,53.41
159,2015,3,Río Negro,19.11,62.12
160,2015,3,Salta,10.56,43.59
161,2015,3,San Juan,13.95,54.77
162,2015,3,San Luis,11.12,38.84
163,2015,3,Santa Cruz,18.64,62.62
164,2015,3,Santa Fe,22.54,71.68
165,2015,3,Santiago del Estero,7.44,29.97
166,2015,3,Tierra del Fuego,22.97,77.47
167,2015,3,Tucumán,13.37,53.98
168,2015,4,Buenos Aires,28.17,88.65
169,2015,4,Capital Federal,51.45,121.24
170,2015,4,Catamarca,9.85,38.74
171,2015,4,Chaco,9.0,33.67
172,2015,4,Chubut,19.43,63.37
173,2015,4,Córdoba,20.13,65.75
174,2015,4,Corrientes,10.01,38.03
175,2015,4,Entre Ríos,17.24,57.67
176,2015,4,Formosa,7.15,28.08
177,2015,4,Jujuy,7.79,30.45
178,2015,4,La Pampa,23.15,70.27
179,2015,4,La Rioja,10.43,39.17
180,2015,4,Mendoza,19.06,68.31
181,2015,4,Misiones,9.35,34.31
182,2015,4,Neuquén,17.37,58.34
183,2015,4,Río Negro,19.22,62.47
184,2015,4,Salta,10.52,43.45
185,2015,4,San Juan,14.06,55.19
186,2015,4,San Luis,11.07,38.67
187,2015,4,Santa Cruz,16.32,54.85
188,2015,4,Santa Fe,22.24,70.73
189,2015,4,Santiago del Estero,7.35,29.62
190,2015,4,Tierra del Fuego,23.06,77.77
191,2015,4,Tucumán,13.35,53.87
192,2016,1,Buenos Aires,29.04,91.2
193,2016,1,Capital Federal,52.62,123.37
194,2016,1,Catamarca,9.68,38.05
195,2016,1,Chaco,8.86,33.16
196,2016,1,Chubut,21.36,69.67
197,2016,1,Córdoba,19.56,63.87
198,2016,1,Corrientes,9.47,35.97
199,2016,1,Entre Ríos,16.77,56.1
200,2016,1,Formosa,7.06,27.73
201,2016,1,Jujuy,7.69,30.07
202,2016,1,La Pampa,24.15,73.3
203,2016,1,La Rioja,10.18,38.23
204,2016,1,Mendoza,20.06,71.88
205,2016,1,Misiones,9.6,35.26
206,2016,1,Neuquén,16.27,54.66
207,2016,1,Río Negro,20.64,67.09
208,2016,1,Salta,10.35,42.75
209,2016,1,San Juan,15.32,60.16
210,2016,1,San Luis,11.19,39.11
211,2016,1,Santa Cruz,14.47,48.61
212,2016,1,Santa Fe,21.72,69.06
213,2016,1,Santiago del Estero,6.9,27.79
214,2016,1,Tierra del Fuego,25.11,84.69
215,2016,1,Tucumán,13.17,53.16
216,2016,2,Buenos Aires,29.22,91.58
217,2016,2,Capital Federal,51.66,121.27
218,2016,2,Catamarca,9.63,37.85
219,2016,2,Chaco,8.92,33.37
220,2016,2,Chubut,20.0,65.24
221,2016,2,Córdoba,19.52,63.75
222,2016,2,Corrientes,9.49,36.03
223,2016,2,Entre Ríos,16.88,56.44
224,2016,2,Formosa,6.97,27.4
225,2016,2,Jujuy,7.66,29.96
226,2016,2,La Pampa,23.69,71.89
227,2016,2,La Rioja,10.17,38.19
228,2016,2,Mendoza,19.42,69.6
229,2016,2,Misiones,9.19,33.73
230,2016,2,Neuquén,15.75,52.92
231,2016,2,Río Negro,19.92,64.77
232,2016,2,Salta,10.31,42.56
233,2016,2,San Juan,14.37,56.4
